id,char,column,row,height_cm,width_cm,engraving_width_cm,engraving_depth_cm,condition_grade
SNS_1_c1r2,利,1,2,15,22,,,
SNS_1_c1r3,弗,1,3,20.5,18.5,,,
SNS_1_c1r4,汝,1,4,19,23.5,,,
SNS_1_c1r5,問,1,5,17.5,20,,,
SNS_1_c1r6,云,1,6,18.5,25,,,
SNS_1_c1r7,何,1,7,14,22,,,
SNS_1_c1r8,名,1,8,18.5,23,,,
SNS_1_c1r9,佛,1,9,21,24,,,
SNS_1_c2r1,云,2,1,17,20.5,,,
SNS_1_c2r2,何,2,2,17,21,,,
SNS_1_c2r3,觀,2,3,25,26,,,
SNS_1_c2r4,佛,2,4,24,24.5,,,
SNS_1_c2r5,者,2,5,19.5,25,,,
SNS_1_c2r6,不,2,6,20,25.5,,,
SNS_1_c2r7,生,2,7,20.5,18.5,,,
SNS_1_c2r8,不,2,8,18,25.5,,,
SNS_1_c2r9,滅,2,9,20,28.5,,,
SNS_1_c3r1,不,3,1,17,25,,,
SNS_1_c3r2,來,3,2,23.5,18.5,,,
SNS_1_c3r3,不,3,3,18,23,,,
SNS_1_c3r4,去,3,4,19,23.5,,,
SNS_1_c3r5,非,3,5,18,25,,,
SNS_1_c3r6,名,3,6,21,23,,,
SNS_1_c3r7,非,3,7,18,24,,,
SNS_1_c3r8,相,3,8,19,27.5,,,
SNS_1_c3r9,是,3,9,23,23,,,
SNS_1_c4r1,名,4,1,18.5,24.5,,,
SNS_1_c4r2,爲,4,2,23,28,,,
SNS_1_c4r3,佛,4,3,17.5,24,,,
SNS_1_c4r4,如,4,4,17,29,,,
SNS_1_c4r5,自,4,5,20,16,,,
SNS_1_c4r6,觀,4,6,26,37,,,
SNS_1_c4r7,身,4,7,23.5,21,,,
SNS_1_c4r8,實,4,8,25,25.5,,,
SNS_1_c4r9,相,4,9,17,29,,,
SNS_1_c5r1,觀,5,1,23,36,,,
SNS_1_c5r2,佛,5,2,18,27,,,
SNS_1_c5r3,亦,5,3,20,22,,,
SNS_1_c5r4,然,5,4,24,26,,,
SNS_1_c5r5,唯,5,5,21,25,,,
SNS_1_c5r6,有,5,6,27,31,,,
SNS_1_c5r7,智,5,7,23.5,26,,,
SNS_1_c5r8,者,5,8,24,31.5,,,
SNS_1_c5r9,乃,5,9,20,27.5,,,
SNS_1_c6r1,能,6,1,27,35,,,
SNS_1_c6r2,知,6,2,16,25.5,,,
SNS_1_c6r3,耳,6,3,19,21,,,
SNS_1_c6r4,是,6,4,25,25,,,
SNS_1_c6r5,名,6,5,21,29,,,
SNS_1_c6r6,觀,6,6,28,40,,,
SNS_1_c6r7,佛,6,7,26,29.5,,,
